id,ts,temperaturaCaja,humedadRelativa,masaEstimada
secado-fermentacion-01,2026-09-24T21:13:34.818Z,34.52,85,175.5
secado-fermentacion-01,2026-09-24T22:23:39.793Z,33.89,80.2,175.21
secado-fermentacion-01,2026-09-24T22:47:41.489Z,34.11,74.7,175.19
secado-fermentacion-01,2026-09-25T00:03:25.16Z,34.54,74.8,174.64
secado-fermentacion-01,2026-09-25T00:19:26.283Z,34.37,78.7,174.96
secado-fermentacion-01,2026-09-25T00:21:26.417Z,34.83,74.9,174.6
secado-fermentacion-01,2026-09-25T00:43:27.985Z,34.88,78.7,174.45
secado-fermentacion-01,2026-09-25T01:11:29.966Z,34.45,82.6,174.46
secado-fermentacion-01,2026-09-25T01:13:30.114Z,34.09,82.1,174.71
secado-fermentacion-01,2026-09-25T01:23:30.803Z,34.84,75.1,174.36
secado-fermentacion-01,2026-09-25T01:25:30.93Z,34.64,77.8,174.72
secado-fermentacion-01,2026-09-25T02:03:33.667Z,34.18,82.1,174.53
secado-fermentacion-01,2026-09-25T02:23:35.062Z,34.4,84,174.46
secado-fermentacion-01,2026-09-25T02:25:35.188Z,34.92,81.7,174.23
secado-fermentacion-01,2026-09-25T02:27:35.326Z,34.6,79.3,174.53
secado-fermentacion-01,2026-09-24T14:19:28.88Z,33.49,75.4,176.3
secado-fermentacion-01,2026-09-24T14:21:29.031Z,33.69,85.1,176.57
secado-fermentacion-01,2026-09-24T14:39:30.338Z,32.94,76.1,176.07
secado-fermentacion-01,2026-09-24T14:43:30.629Z,33.07,81.3,176.2
secado-fermentacion-01,2026-09-24T16:19:35.689Z,33.39,85.2,176.1
secado-fermentacion-01,2026-09-24T16:21:35.836Z,33.61,81.7,176.3
secado-fermentacion-01,2026-09-24T16:25:36.112Z,33.1,77.6,175.78
secado-fermentacion-01,2026-09-24T16:27:36.244Z,33.32,78.3,176.08
secado-fermentacion-01,2026-09-24T18:01:42.871Z,33.18,78.3,175.44
secado-fermentacion-01,2026-09-24T18:03:43.021Z,34,84.3,175.96
secado-fermentacion-01,2026-09-24T18:47:46.088Z,33.7,81.6,175.8
secado-fermentacion-01,2026-09-24T19:41:28.231Z,33.25,82.4,175.72
secado-fermentacion-01,2026-09-24T19:53:29.109Z,34.06,81.3,175.65
secado-fermentacion-01,2026-09-24T21:23:35.517Z,33.97,75.1,175.41
secado-fermentacion-01,2026-09-24T21:53:37.68Z,33.8,81.1,175.15
secado-fermentacion-01,2026-09-24T22:41:41.052Z,34.32,75.3,175.24
secado-fermentacion-01,2026-09-24T22:43:41.188Z,34.08,83.6,174.76
secado-fermentacion-01,2026-09-25T00:09:25.584Z,34.72,82.8,174.5
secado-fermentacion-01,2026-09-25T00:11:25.731Z,34.2,78.5,174.61
secado-fermentacion-01,2026-09-25T00:53:28.721Z,33.86,81.7,174.3
secado-fermentacion-01,2026-09-25T00:55:28.851Z,34.07,80,174.69
secado-fermentacion-01,2026-09-25T01:07:29.67Z,34.62,75,174.84
secado-fermentacion-01,2026-09-25T01:27:31.067Z,33.97,82.3,174.6
secado-fermentacion-01,2026-09-25T01:29:31.207Z,34.6,75.5,174.51
secado-fermentacion-01,2026-09-25T01:31:31.349Z,34.66,83.8,174.66
secado-fermentacion-01,2026-09-25T01:37:31.776Z,34.12,83.9,174.37
secado-fermentacion-01,2026-09-25T02:05:33.811Z,34.49,82.3,174.23
secado-fermentacion-01,2026-09-24T19:45:28.555Z,33.27,80.9,175.22
secado-fermentacion-01,2026-09-24T19:47:28.693Z,34.13,76.4,175.46
secado-fermentacion-01,2026-09-24T20:23:31.252Z,34.39,85,175.49
secado-fermentacion-01,2026-09-24T20:35:32.132Z,33.8,85.5,175.13
secado-fermentacion-01,2026-09-24T21:45:37.102Z,34.15,77.9,175.25
secado-fermentacion-01,2026-09-24T21:55:37.816Z,33.56,80.4,175.26
secado-fermentacion-01,2026-09-24T21:57:37.969Z,34.31,85.6,175.36
secado-fermentacion-01,2026-09-24T22:25:39.933Z,34.14,74.1,174.83
secado-fermentacion-01,2026-09-24T22:27:40.088Z,33.99,82,174.88
secado-fermentacion-01,2026-09-24T22:45:41.334Z,33.72,85.3,174.88
secado-fermentacion-01,2026-09-24T22:57:42.183Z,33.91,75.7,174.85
secado-fermentacion-01,2026-09-25T02:17:34.634Z,33.95,78.8,174.53
secado-fermentacion-01,2026-09-24T13:37:25.93Z,33.67,75.9,176.44
secado-fermentacion-01,2026-09-24T13:35:25.792Z,32.73,86,176.77
secado-fermentacion-01,2026-09-24T13:33:25.649Z,33.72,85.6,176.26
secado-fermentacion-01,2026-09-24T13:31:25.507Z,33.78,74.6,176.47
secado-fermentacion-01,2026-09-24T13:29:25.364Z,32.71,75.4,176.43
secado-fermentacion-01,2026-09-24T13:27:25.236Z,33.72,83.4,176.74
secado-fermentacion-01,2026-09-24T13:25:25.084Z,33.5,78.1,176.59
secado-fermentacion-01,2026-09-24T13:23:24.941Z,33.23,75.5,176.77
secado-fermentacion-01,2026-09-24T13:21:24.796Z,33.34,82.3,176.44
secado-fermentacion-01,2026-09-24T13:19:24.655Z,33.05,79.8,176.55
secado-fermentacion-01,2026-09-24T13:17:24.527Z,32.8,76.3,176.24
secado-fermentacion-01,2026-09-24T13:15:24.384Z,33.23,81,176.29
secado-fermentacion-01,2026-09-24T13:13:24.239Z,33.45,84.4,176.75
secado-fermentacion-01,2026-09-24T13:11:24.103Z,33.7,82.7,176.72
secado-fermentacion-01,2026-09-24T13:09:23.966Z,32.88,84.9,176.8
secado-fermentacion-01,2026-09-24T13:07:23.841Z,33.05,75.3,176.47
secado-fermentacion-01,2026-09-24T13:05:23.682Z,33.08,76.4,176.73
secado-fermentacion-01,2026-09-24T13:03:23.554Z,32.87,79,176.44
secado-fermentacion-01,2026-09-24T13:01:23.419Z,33.13,75.6,176.78
secado-fermentacion-01,2026-09-24T12:59:23.26Z,32.99,85,176.28
secado-fermentacion-01,2026-09-24T12:57:23.117Z,33.31,78.7,176.85
secado-fermentacion-01,2026-09-24T12:55:22.991Z,33.53,76.2,176.81
secado-fermentacion-01,2026-09-24T12:53:22.85Z,32.6,83.1,176.42
secado-fermentacion-01,2026-09-24T12:51:22.706Z,33.4,85.7,176.4
secado-fermentacion-01,2026-09-24T12:49:22.561Z,32.87,81.7,176.72
secado-fermentacion-01,2026-09-24T12:47:22.433Z,33.21,84,176.31
secado-fermentacion-01,2026-09-24T12:45:22.288Z,33.19,85.2,176.9
secado-fermentacion-01,2026-09-24T12:43:22.153Z,33.25,79.5,176.54
secado-fermentacion-01,2026-09-24T12:41:22.016Z,33.67,80.7,176.79
secado-fermentacion-01,2026-09-24T12:39:21.88Z,33.54,82.1,176.58
secado-fermentacion-01,2026-09-24T12:37:21.737Z,33.15,81.3,176.51
secado-fermentacion-01,2026-09-24T12:35:21.611Z,33.39,79.8,176.47
secado-fermentacion-01,2026-09-24T12:33:21.461Z,33.19,77.9,176.87
secado-fermentacion-01,2026-09-24T12:31:21.326Z,33,76.6,176.57
secado-fermentacion-01,2026-09-24T12:29:21.199Z,33.15,84,176.65
secado-fermentacion-01,2026-09-24T12:27:20.997Z,32.65,80.6,176.58
secado-fermentacion-01,2026-09-24T12:25:20.864Z,33.54,84.7,176.82
secado-fermentacion-01,2026-09-24T12:23:20.729Z,33.37,79.5,176.5
secado-fermentacion-01,2026-09-24T12:21:20.586Z,32.9,77.9,176.48
secado-fermentacion-01,2026-09-24T12:19:20.444Z,32.82,75.1,176.69
secado-fermentacion-01,2026-09-24T12:17:20.309Z,32.76,75.1,176.98
secado-fermentacion-01,2026-09-24T12:15:20.172Z,33.37,79.3,176.45
secado-fermentacion-01,2026-09-24T12:13:20.027Z,32.6,74.9,176.51
secado-fermentacion-01,2026-09-24T12:11:19.89Z,33.37,85.7,176.61
secado-fermentacion-01,2026-09-24T12:09:19.754Z,33.61,81.4,176.66
secado-fermentacion-01,2026-09-24T12:07:19.61Z,32.6,78.6,176.9
secado-fermentacion-01,2026-09-24T12:05:19.48Z,33.62,79.2,177.01
secado-fermentacion-01,2026-09-24T12:03:19.343Z,33.07,83.9,176.57
secado-fermentacion-01,2026-09-24T12:01:19.194Z,32.75,74.4,176.7
secado-fermentacion-01,2026-09-24T11:59:19.061Z,32.95,75.9,176.83
secado-fermentacion-01,2026-09-24T11:27:38.549Z,32.98,77,176.72
secado-fermentacion-01,2026-09-24T11:25:38.398Z,33,75.6,176.99
secado-fermentacion-01,2026-09-24T11:23:38.261Z,33.04,74.6,176.77
secado-fermentacion-01,2026-09-24T11:21:38.123Z,32.42,85.6,176.75
secado-fermentacion-01,2026-09-24T11:19:37.98Z,32.8,84.3,177
secado-fermentacion-01,2026-09-24T11:17:37.832Z,32.82,82.9,177.13
secado-fermentacion-01,2026-09-24T11:15:37.687Z,32.96,85.5,176.66
secado-fermentacion-01,2026-09-24T11:13:37.546Z,32.42,75.6,176.79
secado-fermentacion-01,2026-09-24T11:11:37.413Z,33.38,83.8,176.87
secado-fermentacion-01,2026-09-24T11:09:37.277Z,33.46,85.1,176.88
secado-fermentacion-01,2026-09-24T11:07:37.142Z,33.24,82.8,176.62
secado-fermentacion-01,2026-09-24T11:05:37.003Z,33.16,80.1,176.75
secado-fermentacion-01,2026-09-24T11:03:36.863Z,33.08,81.1,177.07
secado-fermentacion-01,2026-09-24T11:01:36.714Z,32.75,74.8,177.13
secado-fermentacion-01,2026-09-24T10:59:36.575Z,32.8,78.2,177.15
secado-fermentacion-01,2026-09-24T10:57:36.44Z,32.45,80.7,176.84
secado-fermentacion-01,2026-09-24T10:55:36.316Z,33.29,81.1,176.85
secado-fermentacion-01,2026-09-24T10:53:36.172Z,33.33,74.8,176.65
secado-fermentacion-01,2026-09-24T10:51:36.04Z,32.85,77.8,176.79
secado-fermentacion-01,2026-09-24T10:49:35.884Z,32.5,82.5,176.76
secado-fermentacion-01,2026-09-24T10:47:35.744Z,32.71,75.3,176.89
secado-fermentacion-01,2026-09-24T10:45:35.609Z,33.1,75.4,176.91
secado-fermentacion-01,2026-09-24T10:43:35.485Z,32.51,83.1,177.22
secado-fermentacion-01,2026-09-24T10:41:35.272Z,32.9,81.7,177.21
secado-fermentacion-01,2026-09-24T10:39:35.137Z,33.09,74.8,177.05
secado-fermentacion-01,2026-09-24T10:37:34.994Z,32.93,76.4,177.26
secado-fermentacion-01,2026-09-24T10:35:34.846Z,33.12,76.2,176.86
secado-fermentacion-01,2026-09-24T10:33:34.721Z,33.15,76,176.78
secado-fermentacion-01,2026-09-24T10:31:34.565Z,32.71,78,177.03
secado-fermentacion-01,2026-09-24T10:29:34.438Z,33.36,80.3,176.9
secado-fermentacion-01,2026-09-24T10:27:34.296Z,33.23,80.5,176.72
secado-fermentacion-01,2026-09-24T10:25:34.161Z,33.1,79.9,177.26
secado-fermentacion-01,2026-09-24T10:23:34.011Z,32.82,83.4,176.95
secado-fermentacion-01,2026-09-24T10:21:33.871Z,32.32,81.3,177.3
secado-fermentacion-01,2026-09-24T10:19:33.728Z,33.16,76.2,176.8
secado-fermentacion-01,2026-09-24T10:17:33.579Z,33.25,84,177.22
secado-fermentacion-01,2026-09-24T10:15:33.445Z,33.41,78.7,176.93
secado-fermentacion-01,2026-09-24T10:13:33.306Z,33.14,80.8,177.16
secado-fermentacion-01,2026-09-24T10:11:33.165Z,32.37,85.6,177.03
secado-fermentacion-01,2026-09-24T10:09:33.022Z,32.81,79.6,176.84
secado-fermentacion-01,2026-09-24T10:07:32.874Z,32.69,81.3,177.08
secado-fermentacion-01,2026-09-24T10:05:32.738Z,32.42,76.5,177.21
secado-fermentacion-01,2026-09-24T10:03:32.591Z,32.72,79.2,177.19
secado-fermentacion-01,2026-09-24T10:01:32.45Z,32.43,80.9,177.03
secado-fermentacion-01,2026-09-24T09:59:32.297Z,32.31,79.8,177.07
secado-fermentacion-01,2026-09-24T09:57:32.164Z,32.31,79.9,176.88
secado-fermentacion-01,2026-09-24T09:55:32.016Z,33.35,79.4,176.89
secado-fermentacion-01,2026-09-24T09:53:31.889Z,32.94,74.9,177.06
secado-fermentacion-01,2026-09-24T09:51:31.746Z,33.11,81.4,177.2
secado-fermentacion-01,2026-09-24T09:49:31.596Z,32.39,85,176.99
secado-fermentacion-01,2026-09-24T09:47:31.457Z,32.69,79.3,177.14
secado-fermentacion-01,2026-09-24T09:45:31.327Z,32.22,80.2,176.87
secado-fermentacion-01,2026-09-24T09:43:31.184Z,33.25,79.2,177.24
secado-fermentacion-01,2026-09-24T09:41:31.039Z,33.19,74.2,177.09
secado-fermentacion-01,2026-09-24T09:39:30.896Z,32.68,82.5,177.41
secado-fermentacion-01,2026-09-24T09:37:30.749Z,32.27,74.4,177
secado-fermentacion-01,2026-09-24T09:35:30.616Z,33.03,82.8,176.98
secado-fermentacion-01,2026-09-24T09:33:30.467Z,32.26,76.6,177.04
secado-fermentacion-01,2026-09-24T09:31:30.334Z,32.86,83.9,177.31
secado-fermentacion-01,2026-09-24T13:55:27.191Z,33.67,81.8,176.68
secado-fermentacion-01,2026-09-24T13:57:27.339Z,33.78,80.4,176.37
secado-fermentacion-01,2026-09-24T14:11:28.33Z,33.48,80.1,176.11
secado-fermentacion-01,2026-09-24T14:13:28.46Z,33.04,77.4,176.42
secado-fermentacion-01,2026-09-24T17:55:42.462Z,33.24,77.3,176.04
secado-fermentacion-01,2026-09-24T17:57:42.601Z,33.73,81,175.49
secado-fermentacion-01,2026-09-24T19:55:29.266Z,33.37,78.1,175.26
secado-fermentacion-01,2026-09-24T23:43:23.764Z,34.23,81.9,174.96
secado-fermentacion-01,2026-09-25T00:01:25.028Z,34.24,83.9,174.89
secado-fermentacion-01,2026-09-25T00:59:29.141Z,34.28,80.6,174.4
secado-fermentacion-01,2026-09-25T01:01:29.275Z,34.6,78.8,174.39
secado-fermentacion-01,2026-09-25T02:07:33.943Z,34.56,78.8,174.21
secado-fermentacion-01,2026-09-24T17:05:38.902Z,33.5,79.9,176.02
secado-fermentacion-01,2026-09-24T17:07:39.045Z,33.68,81.4,175.6
secado-fermentacion-01,2026-09-24T20:05:29.972Z,34.42,80.4,175.49
secado-fermentacion-01,2026-09-24T20:09:30.268Z,33.59,85,175.36
secado-fermentacion-01,2026-09-24T20:25:31.403Z,34.02,77.8,175.1
secado-fermentacion-01,2026-09-24T20:27:31.554Z,33.76,79.8,175.26
secado-fermentacion-01,2026-09-24T20:55:33.541Z,34.31,74.8,175.2
secado-fermentacion-01,2026-09-24T21:47:37.253Z,33.66,85.4,175.11
secado-fermentacion-01,2026-09-24T22:09:38.808Z,34.29,79.2,174.89
secado-fermentacion-01,2026-09-24T22:29:40.228Z,34.57,77.3,175.08
secado-fermentacion-01,2026-09-25T00:51:28.54Z,34.58,83.6,174.46
secado-fermentacion-01,2026-09-24T13:59:27.477Z,32.85,76.1,176.39
secado-fermentacion-01,2026-09-24T14:01:27.618Z,32.71,83.7,176.16
secado-fermentacion-01,2026-09-24T16:17:35.548Z,33.44,77.2,176.28
secado-fermentacion-01,2026-09-24T17:09:39.168Z,34.1,85.9,176.02
secado-fermentacion-01,2026-09-24T17:11:39.296Z,33.59,74.4,175.63
secado-fermentacion-01,2026-09-24T17:13:39.444Z,33.83,77.6,175.66
secado-fermentacion-01,2026-09-24T18:07:43.297Z,33.31,82.1,175.57
secado-fermentacion-01,2026-09-24T18:09:43.434Z,33.94,75.6,175.85
secado-fermentacion-01,2026-09-24T18:11:43.561Z,33.19,75.8,175.5
secado-fermentacion-01,2026-09-24T18:43:45.801Z,33.89,77.9,175.51
secado-fermentacion-01,2026-09-24T19:05:47.362Z,33.83,84.7,175.28
secado-fermentacion-01,2026-09-24T19:49:28.84Z,33.4,77.5,175.66
secado-fermentacion-01,2026-09-24T19:57:29.4Z,33.72,81.8,175.46
secado-fermentacion-01,2026-09-24T20:07:30.122Z,33.48,82.7,175.17
secado-fermentacion-01,2026-09-24T23:39:23.514Z,34.81,76.9,174.91
secado-fermentacion-01,2026-09-24T23:41:23.638Z,34.01,79.6,175.01
secado-fermentacion-01,2026-09-24T23:57:24.758Z,33.73,84.3,174.89
secado-fermentacion-01,2026-09-24T23:59:24.899Z,34.53,75.6,174.99
secado-fermentacion-01,2026-09-25T01:39:31.915Z,33.87,82.9,174.44
secado-fermentacion-01,2026-09-25T01:41:32.048Z,34.23,80.4,174.67
secado-fermentacion-01,2026-09-25T01:45:32.329Z,34.56,82.6,174.5
secado-fermentacion-01,2026-09-25T01:55:33.077Z,34.13,79.5,174.5
secado-fermentacion-01,2026-09-24T09:29:30.179Z,32.37,76.5,177.43
secado-fermentacion-01,2026-09-24T09:27:30.051Z,32.26,77.7,177.04
secado-fermentacion-01,2026-09-24T09:25:29.91Z,32.26,83,176.94
secado-fermentacion-01,2026-09-24T09:23:29.767Z,32.86,83.8,177.21
secado-fermentacion-01,2026-09-24T09:21:29.636Z,32.61,84.5,177.45
secado-fermentacion-01,2026-09-24T09:19:29.506Z,32.42,83.2,177.2
secado-fermentacion-01,2026-09-24T09:17:29.359Z,32.23,81.9,177.01
secado-fermentacion-01,2026-09-24T09:15:29.213Z,32.73,83.4,177.31
secado-fermentacion-01,2026-09-24T09:13:29.072Z,32.96,77.6,176.96
secado-fermentacion-01,2026-09-24T09:11:28.939Z,32.44,84.4,176.93
secado-fermentacion-01,2026-09-24T09:09:28.808Z,32.52,80.5,177.03
secado-fermentacion-01,2026-09-24T09:07:28.663Z,33.33,85.5,177.33
secado-fermentacion-01,2026-09-24T09:05:28.516Z,32.66,78.2,177.25
secado-fermentacion-01,2026-09-24T09:03:28.388Z,32.54,76.7,177.48
secado-fermentacion-01,2026-09-24T09:01:28.253Z,32.65,75.8,177.05
secado-fermentacion-01,2026-09-24T08:59:28.121Z,32.77,80.9,177.37
secado-fermentacion-01,2026-09-24T08:57:27.967Z,32.61,76.3,177.04
secado-fermentacion-01,2026-09-24T08:55:27.825Z,32.49,79.3,177.49
secado-fermentacion-01,2026-09-24T08:53:27.686Z,32.37,79.4,177.07
secado-fermentacion-01,2026-09-24T08:51:27.55Z,32.69,78.1,177.05
secado-fermentacion-01,2026-09-24T08:49:27.413Z,32.56,75.5,177.23
secado-fermentacion-01,2026-09-24T08:47:27.282Z,32.27,76.1,177
secado-fermentacion-01,2026-09-24T08:45:27.134Z,32.36,84.1,177.22
secado-fermentacion-01,2026-09-24T08:43:26.988Z,32.77,83.7,177.28
secado-fermentacion-01,2026-09-24T08:41:26.784Z,32.19,82,177.53
secado-fermentacion-01,2026-09-24T08:39:26.648Z,32.61,78.2,177.56
secado-fermentacion-01,2026-09-24T08:37:26.495Z,32.67,78.5,177.35
secado-fermentacion-01,2026-09-24T08:35:26.345Z,32.74,79.3,177.09
secado-fermentacion-01,2026-09-24T08:33:26.213Z,32.5,81.3,177.46
secado-fermentacion-01,2026-09-24T08:31:26.065Z,33.12,82.7,177.53
secado-fermentacion-01,2026-09-24T08:29:25.936Z,32.6,78.1,177.59
secado-fermentacion-01,2026-09-24T08:27:25.792Z,33.07,82.4,177.11
secado-fermentacion-01,2026-09-24T08:25:25.663Z,32.27,81.5,177.14
secado-fermentacion-01,2026-09-24T08:23:25.519Z,32.23,77,177.19
secado-fermentacion-01,2026-09-24T08:21:25.376Z,32.45,77,177.29
secado-fermentacion-01,2026-09-24T08:19:25.247Z,33.2,79,177.19
secado-fermentacion-01,2026-09-24T08:17:25.097Z,32.26,74.4,177.6
secado-fermentacion-01,2026-09-24T08:15:24.958Z,32.35,79.1,177.54
secado-fermentacion-01,2026-09-24T08:13:24.803Z,32.05,85.8,177.12
secado-fermentacion-01,2026-09-24T08:11:24.661Z,32.06,79.5,177.07
secado-fermentacion-01,2026-09-24T08:09:24.528Z,32.89,79.2,177.58
secado-fermentacion-01,2026-09-24T07:37:43.969Z,32.34,75.6,177.31
secado-fermentacion-01,2026-09-24T07:35:43.818Z,32.98,77.3,177.34
secado-fermentacion-01,2026-09-24T07:33:43.676Z,32.75,74.4,177.32
secado-fermentacion-01,2026-09-24T07:31:43.549Z,32.75,84.4,177.26
secado-fermentacion-01,2026-09-24T07:29:43.418Z,32.08,77.8,177.61
secado-fermentacion-01,2026-09-24T07:27:43.27Z,32.49,85.8,177.7
secado-fermentacion-01,2026-09-24T07:25:43.136Z,32.4,82.1,177.45
secado-fermentacion-01,2026-09-24T07:23:43.003Z,32.63,75.7,177.4
secado-fermentacion-01,2026-09-24T07:21:42.841Z,31.98,79.1,177.43
secado-fermentacion-01,2026-09-24T07:19:42.687Z,32.45,82.9,177.58
secado-fermentacion-01,2026-09-24T07:17:42.554Z,32.72,84.6,177.69
secado-fermentacion-01,2026-09-24T07:15:42.411Z,32.39,84.8,177.47
secado-fermentacion-01,2026-09-24T07:13:42.275Z,32.23,84.1,177.77
secado-fermentacion-01,2026-09-24T07:11:42.148Z,32.85,77.4,177.63
secado-fermentacion-01,2026-09-24T07:09:41.991Z,32.66,75,177.52
secado-fermentacion-01,2026-09-24T07:07:41.859Z,32.56,75.6,177.76
secado-fermentacion-01,2026-09-24T07:05:41.729Z,32.97,83.2,177.75
secado-fermentacion-01,2026-09-24T07:03:41.605Z,32.47,74.4,177.31
secado-fermentacion-01,2026-09-24T07:01:41.455Z,32.24,78,177.8
secado-fermentacion-01,2026-09-24T06:59:41.309Z,31.99,75.5,177.56
secado-fermentacion-01,2026-09-24T06:57:41.172Z,31.93,85.5,177.54
secado-fermentacion-01,2026-09-24T06:55:41.041Z,33.05,82.6,177.35
secado-fermentacion-01,2026-09-24T06:53:40.903Z,32.02,81.9,177.51
secado-fermentacion-01,2026-09-24T06:51:40.767Z,31.98,75.8,177.71
secado-fermentacion-01,2026-09-24T06:49:40.62Z,32.75,81,177.56
secado-fermentacion-01,2026-09-24T06:47:40.472Z,32.31,75.4,177.84
secado-fermentacion-01,2026-09-24T06:45:40.328Z,32.59,78.9,177.5
secado-fermentacion-01,2026-09-24T06:43:40.194Z,32.96,81.3,177.77
secado-fermentacion-01,2026-09-24T06:41:40.054Z,31.97,75.9,177.66
secado-fermentacion-01,2026-09-24T06:39:39.911Z,33.08,84.6,177.61
secado-fermentacion-01,2026-09-24T06:37:39.783Z,32.4,83.9,177.66
secado-fermentacion-01,2026-09-24T06:35:39.657Z,31.99,75.5,177.89
secado-fermentacion-01,2026-09-24T06:33:39.509Z,33.04,80.7,177.94
secado-fermentacion-01,2026-09-24T06:31:39.373Z,32.64,76.6,177.88
secado-fermentacion-01,2026-09-24T06:29:39.24Z,32,81,177.54
secado-fermentacion-01,2026-09-24T06:27:39.109Z,32.39,81.3,177.51
secado-fermentacion-01,2026-09-24T06:25:38.98Z,32.78,80.4,177.46
secado-fermentacion-01,2026-09-24T06:23:38.845Z,32.58,76.3,177.39
secado-fermentacion-01,2026-09-24T06:21:38.685Z,32.21,76,177.48
